lambda (mu),fresh_snow,aged_snow,melting_snow,ice,partly_snow
0.4,0.98,0.94,0.86,0.019,0.5851
0.5,0.98,0.93,0.84,0.0183,0.5413
0.6,0.97,0.92,0.82,0.0179,0.5144
0.7,0.96,0.89,0.78,0.0177,0.5049
0.8,0.93,0.84,0.7,0.0175,0.488
0.9,0.89,0.77,0.6,0.0173,0.4588
1.0,0.84,0.66,0.48,0.0172,0.4347
1.1,0.74,0.53,0.34,0.017,0.3834
1.2,0.62,0.4,0.24,0.0168,0.3233
1.3,0.52,0.31,0.17,0.0166,0.2714
1.4,0.32,0.16,0.07,0.0164,0.16
1.5,0.16,0.08,0.04,0.0162,0.08
1.6,0.28,0.16,0.09,0.016,0.14
1.7,0.16,0.08,0.04,0.0157,0.08
1.8,0.06,0.03,0.02,0.0153,0.03
1.9,0.02,0.01,0.01,0.0149,0.01
2.0,0.12,0.07,0.04,0.0145,0.06
2.1,0.1,0.05,0.03,0.0141,0.05
2.2,0.06,0.03,0.02,0.0134,0.03
2.3,0.04,0.02,0.01,0.0126,0.02
2.4,0.03,0.02,0.01,0.0116,0.015
2.5,0.03,0.02,0.01,0.0103,0.015
2.6,0.028,0.018,0.01,0.0084,0.014
2.7,0.026,0.016,0.01,0.0055,0.013
2.8,0.024,0.014,0.01,0.0018,0.012
2.9,0.022,0.012,0.01,0.0079,0.011
3.0,0.02,0.01,0.01,0.0428,0.01
3.1,0.02,0.01,0.009,0.0845,0.01
3.2,0.02,0.01,0.008,0.0706,0.01
3.3,0.02,0.01,0.007,0.0512,0.01
3.4,0.02,0.01,0.006,0.0409,0.01
3.5,0.02,0.01,0.005,0.0344,0.01
3.6,0.018,0.01,0.005,0.0304,0.009
3.7,0.016,0.01,0.005,0.0278,0.008
3.8,0.014,0.01,0.005,0.0259,0.007
3.9,0.012,0.01,0.005,0.0246,0.006
4.0,0.01,0.01,0.005,0.0235,0.005
